,seed,dataset,num_clients,split,split_args,model,model_params,glob_c_idx,glob_c_idx_ipcw,glob_ibs,iso_c_idx,iso_c_idx_ipcw,iso_ibs,fed_c_idx,fed_c_idx_ipcw,fed_ibs
243,5306,GBSG2,10,uniform,{'min_samples': 25},nmtlr,{'epochs': 500},0.585670895122387,0.5994430171648042,0.2324562132585179,0.5789530105413615,0.5654114654021032,0.2082843873404017,0.6526710737895302,0.6382618263304242,0.1792093238502434
242,5306,GBSG2,10,uniform,{'min_samples': 25},nnet-survival,{'epochs': 500},0.6594604252278006,0.6609235904228337,0.1788529939652476,0.5485081293550117,0.5426304707038868,0.2353965245796808,0.6199749865999643,0.5960166901433236,0.1968037802994303
245,5306,GBSG2,10,uniform,{'min_samples': 25},pc-hazard,{'epochs': 500},0.6390923709129891,0.6335188462174924,0.1932243051952651,0.5573164195104521,0.5497595769659451,0.2254632311786235,0.6206896551724138,0.6052472383002842,0.1983203563665562
332,5306,GBSG2,10,uniform,{'min_samples': 25},rsf,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 500}",0.6787564766839378,0.6788596322258136,0.1694910564491256,0.6494818652849741,0.6326461629980452,0.1858872764922463,0.7132392353046275,0.6944168853879624,0.1777215680279441
333,5306,GBSG2,10,uniform,{'min_samples': 25},rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 100}",0.6787564766839378,0.6788596322258136,0.1694910564491256,0.6494818652849741,0.6326461629980452,0.1858872764922463,0.6955511881365017,0.6793960199189323,0.1776744142433322
282,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",cox_ph,{'epochs': 500},0.933125882010349,0.9402932241649424,0.0424311998240744,0.9189089951988768,0.9256234124516668,0.0538146356613988,0.9308298550702996,0.9380120858594662,0.0482056144061863
286,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deephit,{'epochs': 500},0.9324557408140256,0.9396081000299684,0.044622103016337,0.9214105445503896,0.9298150335369006,0.0604987126964747,0.9280540891679796,0.9358364261770662,0.0446263398675285
283,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deepsurv,{'epochs': 500},0.9321832042829302,0.9393724800347484,0.0466007244888825,0.9290354073487797,0.9364932922749284,0.0480195996855337,0.9348339020511174,0.9416545969998344,0.0420572773423944
285,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nmtlr,{'epochs': 500},0.9286290292472764,0.9361763469144776,0.0485573219871308,0.9275538166314484,0.9352299673261942,0.048506066791824,0.933741889238167,0.9407272402391884,0.0463674389061367
284,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nnet-survival,{'epochs': 500},0.9283583594047504,0.9362087684828956,0.0472184114580711,0.8997929842376818,0.9080816378900256,0.0670639791197783,0.9285655618359256,0.9363288880553684,0.0465232676963825
287,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",pc-hazard,{'epochs': 500},0.9274772824001136,0.9351666805600184,0.0462278816654573,0.9001676286335094,0.9091459058636684,0.0649362313993211,0.9290005002725366,0.9367014372425958,0.0463161829117243
398,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 300}",0.927830086539682,0.9357012063022996,0.0412018573314297,0.9266394192358524,0.9343321187535982,0.0458894349301443,0.9269191425179388,0.9345752059246574,0.0445796321272159
399,5306,flchain,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 350}",0.927830086539682,0.9357012063022996,0.0412018573314297,0.9266394192358524,0.9343321187535982,0.0458894349301443,0.9269639430435984,0.9346701739226164,0.0433377698764902
